country,sector,output_hat,price_hat,spending_hat
ARG,01T02,0.9680507663684619,0.9787845162312654,0.977743305110405
ARG,03,0.9736355197473414,0.9790644222233976,0.977743305110405
ARG,05T06,0.9717357489530216,0.9784825302714997,0.977743305110405
ARG,07T08,0.9717152205712938,0.9784598694915847,0.977743305110405
ARG,10T12,0.9720782392214904,0.9787560890490828,0.977743305110405
ARG,13T15,0.9615183533874939,0.97794591088706,0.977743305110405
ARG,16,0.9599363171306401,0.9788889786200169,0.977743305110405
ARG,17T18,0.9780051543481226,0.9793308029833222,0.977743305110405
ARG,19,0.9842511627630219,0.9789350870927302,0.977743305110405
ARG,20,0.9829598480812923,0.9808541956810417,0.977743305110405
ARG,21,0.9871212447315482,0.9802705590346245,0.977743305110405
ARG,22,0.9735329353591706,0.9808127739145497,0.977743305110405
ARG,23,0.9751681870130523,0.9787110290751279,0.977743305110405
ARG,24,0.9683193574097472,0.9802920075810165,0.977743305110405
ARG,25,0.9674343768985493,0.9792827704162923,0.977743305110405
ARG,26,0.9735077645910417,0.978438036446193,0.977743305110405
ARG,27,0.9701945829323929,0.979079624037018,0.977743305110405
ARG,28,0.9842005582404714,0.9796323453614315,0.977743305110405
ARG,29T30,0.9786818606502835,0.9796858311332718,0.977743305110405
ARG,31T33,0.9752426541494074,0.9789587206825999,0.977743305110405
ARG,35,0.9770504748305289,0.9790257599647997,0.977743305110405
ARG,36T39,0.9776370041970922,0.9788396991809902,0.977743305110405
ARG,41T43,0.9779228349882908,0.9785880669257201,0.977743305110405
ARG,45T47,0.9772780680897388,0.9786234158710433,0.977743305110405
ARG,49,0.9772932393172182,0.9794560765955334,0.977743305110405
ARG,50,0.9672690535431581,0.9797655213125698,0.977743305110405
ARG,51,0.9854764061318548,0.9826046521385536,0.977743305110405
ARG,52,0.9767726063318914,0.9791391972248856,0.977743305110405
ARG,53,1.0067591614944216,0.9793672824179546,0.977743305110405
ARG,55T56,0.9827547651450913,0.9788378522519867,0.977743305110405
ARG,58T60,0.9955006284794694,0.9807164468580285,0.977743305110405
ARG,61,0.987819162984369,0.9794268587815819,0.977743305110405
ARG,62T63,0.9766744694673037,0.9801944323421813,0.977743305110405
ARG,64T66,0.9869810753093088,0.9813215493684138,0.977743305110405
ARG,68,0.9807493529481872,0.9780420487781031,0.977743305110405
ARG,69T75,0.9853469659346381,0.9798127627484312,0.977743305110405
ARG,77T82,0.9796556590223329,0.9786268170913707,0.977743305110405
ARG,84,0.9786104938016216,0.9786934078719605,0.977743305110405
ARG,85,0.9805652035451775,0.9782553809918313,0.977743305110405
ARG,86T88,0.9781930913490473,0.9785299672718041,0.977743305110405
ARG,90T93,0.9802116697678023,0.9793148057742718,0.977743305110405
ARG,94T98,0.9787617090189885,0.9789057886279628,0.977743305110405
AUS,01T02,0.9634206983962409,0.9723477500516688,0.9705668299082544
AUS,03,0.9658737176991592,0.9727662389971632,0.9705668299082544
AUS,05T06,0.9631231812517255,0.9715940414374917,0.9705668299082544
AUS,07T08,0.9568225020125329,0.9720876773624023,0.9705668299082544
AUS,10T12,0.9667729118455684,0.9723636336867589,0.9705668299082544
AUS,13T15,0.9448680051951127,0.9710329720433504,0.9705668299082544
AUS,16,0.9669103098605206,0.9720672263262228,0.9705668299082544
AUS,17T18,0.9720740319122644,0.9724753380478813,0.9705668299082544
AUS,19,0.97523693418758,0.9722886708202764,0.9705668299082544
AUS,20,0.9874699648882068,0.9729549144521602,0.9705668299082544
